,complex_id,lat,long,ttl_ridership,demand_weight,d,osmnx_node_id
1,610,40.751992,-73.97735933333333,329.5995405660377,0.06338600217093622,49.03222883376255,9140654137
2,607,40.749643,-73.9878865,318.94523018867926,0.06133704864524475,47.44726125889452,42430304
3,609,40.7540215,-73.98326599999999,241.28533962264154,0.04640210673495023,35.89434004153017,42430329
4,225,40.758663,-73.981329,226.83077971698114,0.04362231898407336,33.744035803337006,42430352
5,612,40.7573295,-73.97048749999999,226.653745754717,0.04358827319900602,33.717699693358895,42449961
6,164,40.752287,-73.993391,213.58962783018868,0.04107588435980008,31.774241827833173,42435644
7,624,40.712603,-74.0095515,188.4200080188679,0.036235460209747695,28.029932730411296,42453952
8,613,40.762592999999995,-73.9676125,161.71522783018867,0.031099806039517293,24.057248512108202,42447020
9,602,40.735065999999996,-73.99041633333333,158.10530047169811,0.03040557308339957,23.520224752879678,42428493
10,9,40.764664,-73.980658,125.325975,0.0241017099410461,18.643872726464576,42431549
11,167,40.732338,-74.000495,125.23209528301886,0.024083655729155655,18.629906894600968,42430233
12,618,40.740335,-74.002134,124.1742858490566,0.023880226103730754,18.47254395004262,42435598
13,228,40.742878,-73.992821,123.03796886792453,0.023661698521716488,18.30350198429572,42430271
14,276,40.760167,-73.975224,110.03396509433962,0.021160870365197357,16.368986882464817,42436700
15,471,40.755882,-74.00191,107.56629056603774,0.020686306527094044,16.001888123919358,42430633
16,162,40.762456,-73.985984,107.27341933962263,0.02062998382663921,15.958319710663238,42435684
17,614,40.7682715,-73.9818325,92.41945566037737,0.01777338587021395,13.748598953897721,1825841742
18,8,40.764811,-73.973347,88.57362924528303,0.01703378665512532,13.17648213445072,4347534767
19,601,40.737796333333335,-73.997732,79.53160330188679,0.015294895044131273,11.831362889393418,42430253
20,619,40.725606,-73.9954315,79.20017688679245,0.015231157711759395,11.782058889155579,42457319
21,277,40.762862,-73.981637,78.74681603773585,0.015143970904055818,11.714615552138069,42440012
22,628,40.71008875,-74.00783824999999,77.86492971698112,0.014974373433908015,11.583423464277901,42440287
23,224,40.763972,-73.97745,75.95675943396226,0.014607409070140291,11.299558256789783,42430378
24,623,40.71870125,-74.00058,66.47867075471697,0.012784657289093445,9.889568994579824,5706569898
25,165,40.745906,-73.998041,64.47178349056604,0.012398708448679912,9.591018349119514,42427427
26,169,40.720824,-74.005229,61.924777358490566,0.011908888177875325,9.212117980222004,42430126
27,404,40.74307,-73.984264,59.84239150943396,0.011508420040928445,8.902335935939467,42446266
28,403,40.746081,-73.982076,58.07060330188679,0.011167683609751525,8.638759340267578,4597668020
29,405,40.739864,-73.986599,57.762264150943395,0.011108386239198404,8.592889871573838,42448693
30,232,40.723402,-73.989938,57.075361792452824,0.010976286557530975,8.49070419021603,42451665
31,10,40.759901,-73.984139,56.00956839622641,0.010771321519014967,8.332153527179486,42439996
32,625,40.718463,-73.9877755,49.92116650943396,0.009600447753381071,7.426424368599828,42429782
33,231,40.718267,-73.993753,41.27048443396227,0.007936816330005146,6.139522626066383,42452067
34,14,40.741303,-73.989344,40.30414669811321,0.007750977825141958,5.995767289170343,42428201
35,168,40.726227,-74.003739,38.406374056603774,0.007386013054353515,5.713448866416654,42430160
36,622,40.713154,-74.003766,38.06555754716981,0.007320469892582803,5.662747967221855,9121386334
37,318,40.750373,-73.991057,37.32928254716981,0.007178875251193867,5.553217461740627,4461990857
